========================================================================================================================
MÚSICA                                   | ARTISTA                        | GÊNERO               | ANO   
Pure Water                               | Migos                          | Hip-Hop/Rap          | 2019  
Bad and Boujee (feat. Lil Uzi Vert)      | Migos, Lil Uzi Vert            | Hip-Hop/Rap          | 2016  
Danger (with Migos & Marshmello)         | Migos, Marshmello              | Hip-Hop/Rap          | 2017  
Hands                                    | Mike Perry, The Vamps,         | Pop                  | 2017  
This Is Why I'm Hot                      | Mims                           | Música               | 2022  
Kibou No Uta (Food Wars! Shokugeki No    | Miura Jam                      | J-Pop                | 2020  
Dê um Trocado Pro Seu Bruxo (De "The W   | Miura Jam BR, Branime Studio   | Sertanejo            | 2020  
Shook Ones, Pt. II                       | Mobb Deep                      | Música               | 2006  
Survival of the Fittest                  | Mobb Deep                      | Música               | 1995  
Camaro Amarelo - Ao Vivo                 | Munhoz & Mariano               | Sertanejo            | 2012  
Seu Bombeiro (Ao Vivo)                   | Munhoz & Mariano               | Sertanejo            | 2012  
Tempo                                    | Máquina                        | Sertanejo            | 2020  
Beggin'                                  | Måneskin                       | Rock                 | 2017  
I WANNA BE YOUR SLAVE                    | Måneskin                       | Rock                 | 2025  
L'altra dimensione                       | Måneskin                       | Rock                 | 2018  
A Gente Se Entrega                       | NATTAN                         | Forró/Piseiro        | 2023  
Amor Na Praia                            | NATTAN                         | Forró/Piseiro        | 2024  
Cama e Mesa                              | NATTAN                         | Forró/Piseiro        | 2024  
Lancha No Mar                            | NATTAN, MC Ryan SP,            | Forró/Piseiro        | 2022  
Tara Louca                               | NATTAN, Thor Play              | Forró/Piseiro        | 2022  
Die With A Smile                         | NF                             | Hip-Hop/Rap          | 2024  
Let You Down                             | NF                             | Hip-Hop/Rap          | 2017  
The Search - Edit                        | NF                             | Hip-Hop/Rap          | 2019  
Through Glass                            | NF                             | Hip-Hop/Rap          | 2006  
When I Grow Up                           | NF                             | Hip-Hop/Rap          | 2019  
So Funky                                 | NIVIRO                         | Electronic/Dance     | 2018  
Shotta Flow (feat. Blueface) [Remix]     | NLE Choppa, Blueface           | Rap                  | 2020  
ALORS BRAZIL                             | NONTHENSE                      | Eletrônica/Dance     | 2023  
Promise Me feat. Jessie Chambers         | NURKO, Last Heroes             | Electronic/Dance     | 2018  
Avisa Que Eu Cheguei                     | Naiara Azevedo, Ivete Sangal   | Axé/Pop              | 2017  
Why We Thugs                             | Nas                            | Música               | 2013  
Your Wife (feat. Dr. Dre)                | Nate Dogg, Dr. Dre             | Rap                  | 1999  
Me Namora                                | Natiruts                       | Reggae/Vibe          | 1998  
Natiruts Reggae Power - Ao Vivo          | Natiruts                       | Reggae/Vibe          | 1998  
Quero Ser Feliz Também - Ao Vivo         | Natiruts                       | Reggae/Vibe          | 1998  
Sorri, Sou Rei - Faixa Bônus Ao Vivo     | Natiruts                       | Reggae/Vibe          | 1998  
Sorri, Sou Rei (feat. Claudia Leitte)    | Natiruts, Claudia Leitte       | Axé/Pop              | 2022  
Sorri, Sou Rei (feat. Claudia Leitte)    | Natiruts, Claudia Leitte       | Axé/Pop              | 2022  
Spotlight                                | Near x Far, AWA                | Pop                  | 2018  
Você Partiu Meu Coração (feat. Anitta    | Nego do Borel, Anitta,         | Funk                 | 2017  
Contatinho (feat. Luan Santana)          | Nego do Borel, Luan Santana    | Sertanejo            | 2017  
Esqueci Como Namora (feat. Maiara & Ma   | Nego do Borel, Maiara & Mara   | Sertanejo            | 2017  
Princesa - Ao Vivo                       | Nego do Borel, Matuê           | Trap                 | 2019  
Slow Hands                               | Niall Horan                    | Música               | 2017  
Bom Bidi Bom                             | Nick Jonas, Nicki Minaj        | Pop                  | 2017  
Far Away                                 | Nickelback                     | Rock                 | 2005  
How You Remind Me                        | Nickelback                     | Rock                 | 2001  
How You Remind Me                        | Nickelback                     | Rock                 | 2001  
X                                        | Nicky Jam, J Balvin            | Reggaeton            | 2018  
Am I Wrong                               | Nico & Vinz                    | Pop                  | 1967  
Am I Wrong                               | Nico & Vinz                    | Pop                  | 1967  
Aham                                     | Nicolas Germano                | Funk (Brazilian)     | 2017  
On The Line                              | Night Riots                    | Rock                 | 2018  
Shepherd of Fire                         | Nightwish                      | Música               | 2013  
Feeling Good                             | Nina Simone                    | Música               | 1965  
Heart-Shaped Box                         | Nirvana                        | Rock                 | 1993  
Smells Like Teen Spirit                  | Nirvana                        | Rock                 | 1991  
Wonderwall (Remastered)                  | Oasis                          | Rock                 | 1995  
Wonderwall - Remastered                  | Oasis                          | Rock                 | 1995  
Ric Flair Drip                           | Offset                         | Música               | 2017  
Counting Stars                           | OneRepublic                    | Pop                  | 2013  
I Lived                                  | OneRepublic                    | Pop                  | 2013  
If I Lose Myself - Acoustic              | OneRepublic                    | Pop                  | 2014  
If I Lose Myself - Acoustic              | OneRepublic                    | Pop                  | 2014  
Secrets                                  | OneRepublic                    | Pop                  | 2009  
Secrets                                  | OneRepublic                    | Pop                  | 2009  
Wherever I Go                            | OneRepublic                    | Pop                  | 2016  
Rich Love (with Seeb)                    | OneRepublic, Seeb              | Pop                  | 2017  
Cabeça Voando                            | Os Barões Da Pisadinha         | Forró/Piseiro        | 2019  
Recairei - Ao Vivo                       | Os Barões Da Pisadinha         | Forró/Piseiro        | 2020  
Tá Rocheda                               | Os Barões Da Pisadinha         | Forró/Piseiro        | 2020  
Basta Você Me Ligar - Ao Vivo            | Os Barões Da Pisadinha,        | Forró/Piseiro        | 2020  
Só Os Loucos Sabem                       | Os Paralamas do Sucesso        | Música               | -     
Ms. Jackson                              | Outkast                        | Hip Hop/Rap          | 2000  
Youth of the Nation                      | P.O.D.                         | Nu Metal, Christia   | 2001  
Girassol                                 | PRISCILLA, Whindersson Nunes   | Sertanejo            | 2019  
Girassol                                 | PRISCILLA, Whindersson Nunes   | Pop                  | 2019  
Contrários                               | Padre Fábio De Melo            | Católica             | 2008  
Deus é Pai (Poema)                       | Padre Fábio De Melo            | Católica             | 2008  
Diante do Rei                            | Padre Fábio De Melo            | Católica             | 2013  
Incendeia Minha Alma                     | Padre Fábio De Melo            | Católica             | 2009  
O Caderno                                | Padre Fábio De Melo            | Católica             | 2008  
Pai                                      | Padre Fábio De Melo            | Católica             | 2008  
Tudo Posso                               | Padre Fábio De Melo            | Católica             | 2008  
Tudo é do Pai - ao vivo                  | Padre Fábio De Melo            | Católica             | 2008  
Vida                                     | Padre Fábio De Melo            | Católica             | 2008  
Anjos De Deus - Ao Vivo                  | Padre Marcelo Rossi            | Católica             | 2008  
Espírito Enche A Minha Vida              | Padre Marcelo Rossi            | Católica             | 2002  
Faz um milagre em mim                    | Padre Marcelo Rossi            | Católica             | 2007  
Já Deu Tudo Certo                        | Padre Marcelo Rossi            | Católica             | 2013  
Tudo é do Pai                            | Padre Marcelo Rossi            | Católica             | 2006  
Força e Vitória (feat. Belo)             | Padre Marcelo Rossi,           | Católica             | 2011  
Sonda-Me (feat. Alexandre Pires) - Ao    | Padre Marcelo Rossi,           | Católica             | 2012  
Maria Passa à Frente (feat. Gusttavo L   | Padre Marcelo Rossi, Gusttav   | Católica             | 2019  
A Tempestade Vai Passar - Ao Vivo        | Padre Reginaldo Manzotti, Fa   | Sertanejo            | 2011  
I Write Sins Not Tragedies               | Panic! at the Disco            | Música               | 2006  
Forever                                  | Papa Roach                     | Nu Metal/Rock        | 2007  
Help                                     | Papa Roach                     | Nu Metal             | 2017  
Help                                     | Papa Roach                     | Rock                 | 2017  
Last Resort                              | Papa Roach                     | Nu Metal             | 2004  
Last Resort                              | Papa Roach                     | Música               | 2004  
Scars                                    | Papa Roach                     | Nu Metal/Rock        | 2004  
Lose My Life                             | Papercut Massacre              | Electronic/Industr   | 2009  
Adan y Eva                               | Paulo Londra                   | Latin Trap/Rap       | 2018  
Tal Vez                                  | Paulo Londra                   | Sertanejo            | 2019  
Alive                                    | Pearl Jam                      | Rock                 | 1991  
Espera Sentada                           | Pedrinho Pegação               | Sertanejo            | 2018  
Vish, Aff, Putz, Nossa                   | Pedro Paulo & Alex,            | Sertanejo            | 1969  
The L.A. Song                            | People Under The Stairs        | Hip Hop              | 2002  
Hollow                                   | Phantom Sage                   | Not available        | 2016  
Happy - From "Despicable Me 2"           | Pharrell Williams              | Pop                  | 2013  
Gone, Gone, Gone                         | Phillip Phillips               | Pop                  | 2012  
Lisztomania                              | Phoenix                        | Unknown              | 2009  
Poesia Acústica #8: Amor e Samba         | Pineapple StormTv, , , , , ,   | Sertanejo            | 2022  
Poesia Acústica #7: Céu Azul             | Pineapple StormTv, , , , , ,   | Sertanejo            | 2019  
Poesia Acústica 12 - Pra Sempre          | Pineapple StormTv, Filipe Re   | Hip-Hop/Rap          | 2022  
Poesia Acústica #7: Céu Azul             | Pineapple StormTv, MC Hariel   | Trap                 | -     
I Believe in You                         | Pink                           | Música               | 2020  
Echa Pa'lla (Manos Pa'rriba)             | Pitbull                        | Pop                  | 2012  
Give Me Everything (feat. Nayer)         | Pitbull, AFROJACK, ,           | Pop                  | 2011  
Hey Ma (with Pitbull & J Balvin feat.    | Pitbull, J Balvin, Camila Ca   | Pop, Reggaeton       | 2017  
We Are One (Ole Ola) [The Official 201   | Pitbull, Jennifer Lopez,       | Pop, Hip-Hop/Rap     | 2014  
Fireball (feat. John Ryan)               | Pitbull, John Ryan             | Pop                  | 2014  
Timber                                   | Pitbull, Kesha                 | Pop                  | 2012  
Time of Our Lives                        | Pitbull, Ne-Yo                 | Pop                  | 2014  
Space Cadet                              | Playboi Carti                  | Música               | 2021  
Horses (with PnB Rock, Kodak Black & A   | PnB Rock, Kodak Black,         | Trap                 | 2017  
Walk It Talk It                          | Polo G                         | Música               | 2018  
Dior                                     | Pop Smoke                      | Gangsta Rap          | 2020  
Invincible                               | Pop Smoke                      | Trap                 | 2020  
What You Know Bout Love                  | Pop Smoke                      | Hip-Hop/Rap          | 2020  
What You Know Bout Love                  | Pop Smoke                      | Música               | 2020  
For The Night (feat. Lil Baby & DaBaby   | Pop Smoke, Lil Baby, DaBaby    | Hip-Hop/Rap          | 2020  
93 Million Miles                         | Post Malone                    | Hip-Hop/Rap          | 2023  
Congratulations                          | Post Malone                    | Hip-Hop/Rap          | 2023  
Goodbyes                                 | Post Malone                    | Hip-Hop/Rap          | 2019  
Psycho                                   | Post Malone                    | Hip-Hop/Rap          | 2018  
rockstar                                 | Post Malone                    | Hip-Hop/Rap          | 2017  
Goodbyes (feat. Young Thug)              | Post Malone,                   | Hip-Hop/Rap          | 2019  
Sunflower - Spider-Man: Into the Spide   | Post Malone, Swae Lee          | Hip-Hop/Rap          | 2018  
Árvore De Bons Frutos                    | Pregador Luo                   | Sertanejo            | 2007  
Solo                                     | Prismo                         | Pop                  | 2018  
Linda                                    | Projota, ANAVITÓRIA            | MPB/Pop              | 2017  
Famous                                   | Puddle Of Mudd                 | Rock                 | 2007  
Blurry                                   | Puddle of Mudd                 | Rock                 | 2001  
Youth of the Nation                      | Puddle of Mudd                 | Rock                 | -     
Victory                                  | Puff Daddy                     | Música               | 1997  
It's a Beautiful Day                     | Queen                          | Rock Clássico        | 1995  
                                         | Quer Voar                      | Sertanejo            | 2021  
Dias de Luta, Dias de Glória             | Racionais MC's                 | Hip-Hop/Rap          | 2025  
Creep - Acoustic                         | Radiohead                      | Rock Alternativo     | 1992  
Jigsaw Falling Into Place                | Radiohead                      | 音乐                   | 2007  
Black Beatles                            | Rae Sremmurd                   | Música               | 2016  
Human                                    | Rag                            | Rock/Pop             | 2016  
Mulher de fases                          | Raimundos                      | Rock                 | 1999  
Mulher de fases                          | Raimundos                      | Rock                 | 1999  
Biscuit                                  | Raven & Kreyn                  | Electronic/Dance     | 2009  
Sentimentos De Vaqueiro (Eu Acho Que N   | Raí Saia Rodada                | Forró/Piseiro        | 2019  
Californication                          | Red Hot Chili Peppers          | Rock                 | 1999  
Californication                          | Red Hot Chili Peppers          | Rock                 | 1999  
Let Go                                   | Red Hot Chili Peppers          | Rock                 | 1989  
Otherside                                | Red Hot Chili Peppers          | Rock                 | 1999  
Drip da Roça                             | Reid, Doode, Teto, Ear Kid,    | Trap                 | 2022  
Cake                                     | RetroVision                    | Future Bass          | 2018  
Toca o Trompete - Eletrofunk Remix       | Rick Rastro, Felipe Amorim,    | Forró/Piseiro        | 2023  
Diamonds                                 | Rihanna                        | Pop                  | 2012  
Lift Me Up                               | Rihanna                        | Pop                  | 2022  
Lift Me Up - From Black Panther: Wakan   | Rihanna                        | Pop                  | 2022  
FourFiveSeconds                          | Rihanna, Kanye West,           | Hip-Hop/Rap          | 2015  
Audience Of One                          | Rise Against                   | Punk Rock            | 2008  
Prayer of the Refugee                    | Rise Against                   | Música               | 2006  
Re-Education (Through Labor)             | Rise Against                   | Punk Rock            | 2008  
Satellite                                | Rise Against                   | Punk Rock            | 2011  
Satellite                                | Rise Against                   | Punk Rock            | 2011  
Satellite                                | Rise Against                   | Punk Rock            | 2011  
Seasons                                  | Rival, CADMIUM, Harley Bird    | Pop                  | 2018  
Chill Bill (feat. J. Davi$ & Spooks)     | Rob $tone, J. Davi$, J Spook   | Hip-Hop/Rap          | 2016  
Quero Ser Feliz Também                   | Roberto Carlos                 | Música               | 1991  
Light It Up                              | Robin Hustin, TobiMorrow,      | Electronic/Dance     | 2018  
Down Below                               | Roddy Ricch                    | Trap                 | 2018  
Tuyo                                     | Rodrigo Amarante               | Música               | 2018  
Tuyo (Narcos Theme) [Extended Version]   | Rodrigo Amarante               | Latin, World Music   | 2018  
Tuyo (Narcos Theme) [Extended Version]   | Rodrigo Amarante               | Original Soundtrac   | 2018  
085 - Ao Vivo                            | Rogerinho                      | Sertanejo            | 2025  
Tchuco Nela                              | Rogerinho, Wesley Safadão      | Forró/Piseiro        | 2022  
No Doubt - Rival x Cadmium Remix         | Rogers & Dean, Rival,          | Pop                  | 1978  
Te Louvo em Verdade (Acústico) - Ao Vi   | Rosa de Saron                  | Gospel               | 2008  
Moshpit (feat. Anti Da Menace)           | Rot Ken, Anti Da Menace        | Rap                  | 2023  
Noites Traiçoeiras                       | Roupa Nova                     | MPB/Pop              | 2019  
Suíte 14                                 | Roupa Nova                     | MPB/Pop              | 2014  
These Days (feat. Jess Glynne, Macklem   | Rudimental, Jess Glynne, ,     | Electronic/Dance     | 2018  
What They Want                           | Russ                           | Rap                  | 2014  
Nemesis                                  | Ryllz                          | Sertanejo            | 2018  
Compromisso - Ao Vivo                    | Régis Danese                   | Sertanejo            | 2008  
Faz Um Milagre Em Mim (Como Zaqueu, Eu   | Régis Danese                   | Gospel               | 2008  
Faz Um Milagre Em Mim (Como Zaqueu, Eu   | Régis Danese                   | Sertanejo            | 2008  
Riding                                   | S.U.T                          | Sertanejo            | 2015  
Click Click Boom                         | Saliva                         | Rock                 | 2001  
Todavia Me Alegrarei - Ao Vivo           | Sarah Beatriz                  | Sertanejo            | 2022  
DARK ARIA <LV2>                          | SawanoHiroyuki[nZk],           | Pop/Variado          | 2024  
Beautiful Girls                          | Sean Kingston                  | Pop                  | 2007  
Beautiful Girls                          | Sean Kingston                  | Pop/Outros           | 2007  
Mad Love                                 | Sean Paul, David Guetta,       | Eletrônica           | 2018  
No Lie                                   | Sean Paul, Dua Lipa            | Pop                  | 2016  
Fake It                                  | Seether                        | Rock                 | 2007  
Remedy                                   | Seether                        | Rock                 | 2005  
Kill Em With Kindness                    | Selena Gomez                   | Pop                  | 2015  
Wolves                                   | Selena Gomez,                  | Pop                  | 2019  
Duality                                  | Set It Off                     | Música               | 2014  
Amiga Da Minha Mulher                    | Seu Jorge                      | MPB/Samba            | 2011  
Burguesinha                              | Seu Jorge                      | MPB/Samba            | 2007  
IMPERFEITO                               | Seven Plus, Rayssa Andreoli    | Sertanejo            | 2025  
Me Gusta                                 | Shakira, Anuel AA              | Reggaeton, Latin P   | 2020  
La La La (Brasil 2014) (feat. Carlinho   | Shakira, Carlinhos Brown       | Funk (Brazilian)     | 2014  
Bad Reputation - MTV Unplugged           | Shawn Mendes                   | Pop                  | 2017  
In My Blood                              | Shawn Mendes                   | Pop                  | 2018  
In My Blood - Acoustic                   | Shawn Mendes                   | Pop                  | 2018  
Mercy                                    | Shawn Mendes                   | Pop                  | 2016  
Mercy - Acoustic                         | Shawn Mendes                   | Pop                  | 2017  
Ruin - MTV Unplugged                     | Shawn Mendes                   | Pop                  | 2017  
Something Big                            | Shawn Mendes                   | Pop                  | 2014  
Stitches                                 | Shawn Mendes                   | Pop                  | 2015  
There's Nothing Holdin' Me Back          | Shawn Mendes                   | Pop                  | 2016  
There's Nothing Holdin' Me Back          | Shawn Mendes                   | Pop                  | 2016  
There's Nothing Holdin' Me Back - Acou   | Shawn Mendes                   | Pop                  | 2017  
Treat You Better                         | Shawn Mendes                   | Pop                  | 2016  
Mo Bamba                                 | Sheck Wes                      | Música               | 2018  
Second Chance                            | Shinedown                      | Música               | 2008  
2 FAST 2 FURIOUS                         | Shogun, SLVG                   | Trap                 | 2021  
Bird Set Free                            | Sia                            | Pop                  | 2015  
Chandelier                               | Sia                            | Pop                  | 2014  
Audio                                    | Sia, Diplo, Labrinth,          | Pop                  | 2018  
The Greatest (feat. Kendrick Lamar)      | Sia, Kendrick Lamar            | Hip-Hop/Rap          | 2016  
Cheap Thrills (feat. Sean Paul)          | Sia, Sean Paul                 | Pop                  | 2016  
I'm So Sick                              | Sick Puppies                   | Música               | 2010  
Não Me Sinto Mal Mais                    | Sidoka                         | Trap                 | -     
Porsche                                  | Sidoka, Intactoz Corp.,        | Trap                 | -     
Sutilmente                               | Silvana Estrada                | Música               | -     
Loka                                     | Simone & Simaria,              | Sertanejo            | 1978  
Sutilmente                               | Skank                          | Pop Rock             | 2008  
Before I Forget                          | Slipknot                       | Rock                 | 2004  
Sticky Fingers And Bloodshot Eyes        | SlowBurnKush                   | Unknown              | 2025  
Young, Wild & Free                       | Snoop Dogg & Wiz Khalifa       | Hip-Hop/Rap          | 2010  
Drop It Like It's Hot                    | Snoop Dogg, Pharrell William   | Hip-Hop/Rap          | 2004  
That's That Shit                         | Snoop Dogg, R. Kelly           | Hip-Hop/Rap          | 2010  
Riders On The Storm - Fredwreck Remix    | Snoop Dogg, The Doors          | Hip-Hop/Rap          | 2007  
Young, Wild & Free (feat. Bruno Mars)    | Snoop Dogg, Wiz Khalifa,       | Hip-Hop/Rap          | 2011  
Se a Gente Pode Sonhar                   | SoFly                          | Sertanejo            | 2018  
Drinkee - Vintage Culture & Slow Motio   | Sofi Tukker, Vintage Culture   | Eletrônica           | 2016  
O Tempo Que For                          | Solar                          | Sertanejo            | 2015  
Me (feat. Alexandre Pires) - Ao Vivo     | Sonda                          | Música               | 2012  
Write This Down (Instrumental)           | SoulChef                       | Hip Hop              | 2016  
Write This Down                          | SoulChef, Nieve                | Sertanejo            | 2010  
Crank That                               | Soulja Boy                     | Música               | 2007  
Come Around Me                           | Staind                         | Música               | 2017  
For You                                  | Staind                         | Rock                 | 2001  
It's Been Awhile                         | Staind                         | Rock                 | 2001  
Outside                                  | Staind                         | Rock                 | 2001  
Romantic - NOTD Remix                    | Stanaj, NOTD                   | Pop                  | 2016  
Just Hold On                             | Steve Aoki, Louis Tomlinson    | Pop                  | 2016  
Shackles                                 | Steven Rodriguez               | Pop/Variado          | 2022  
Bother                                   | Stone Sour                     | Música               | 2006  
Cradles                                  | Sub Urban                      | Pop                  | 2019  
Jovem                                    | Supercombo                     | Rock Alternativo     | 2016  
Youngest Daughter                        | Superheaven                    | Emo, Post-Hardcore   | 2013  
PAINTING PICTURES                        | Superstar Pride                | Not Found            | 2022  
Freaks                                   | Surf Curse                     | Indie Rock           | 2015  
Don't You Worry Child - Acoustic Versi   | Swedish House Mafia, John Ma   | Electronic/Dance     | 2012  
Aerials                                  | System of a Down               | Rock                 | 2001  
Chop Suey!                               | System of a Down               | Rock                 | 2001  
Lonely Day                               | System of a Down               | Rock                 | 2005  
Amei Te Ver                              | TIAGO IORC                     | MPB/Pop              | 2016  
Amei Te Ver - Acústica                   | TIAGO IORC                     | MPB/Pop              | 2016  
A-O-K                                    | Tai Verdes                     | Pop/Outros           | 2021  
AOK                                      | Tai Verdes                     | Pop                  | 2021  
Não Digita - Ao Vivo                     | Tarcísio do Acordeon           | Forró/Piseiro        | 2022  
Blvd. Nights                             | Team Sleep                     | Rock                 | 2005  
Lose Control                             | Teddy Swims                    | R&B/Soul             | 2023  
A Lua - Spotify Singles                  | Teto                           | Trap                 | 2021  
Dia Azul                                 | Teto                           | Trap                 | 2021  
Dia Azul                                 | Teto                           | Trap                 | 2021  
Fashion                                  | Teto                           | Trap                 | 2021  
Manha                                    | Teto                           | Trap                 | 2021  
Manha                                    | Teto                           | Trap                 | 2021  
Minha Vida é um Filme                    | Teto                           | Trap                 | 2021  
Mustang Preto                            | Teto                           | Trap                 | 2021  
Paypal                                   | Teto                           | Trap                 | 2021  
M4                                       | Teto, Matuê                    | Trap                 | 2021  
M4                                       | Teto, Matuê                    | Trap                 | -     
Futuro                                   | Teto, Sidoka                   | Trap                 | 2021  
Flow Espacial                            | Teto, WIU, Matuê               | Trap                 | 2023  
Flow Espacial                            | Teto, WIU, Matuê               | Trap                 | 2023  
Onde Já Se Viu                           | Thaeme & Thiago                | Sertanejo            | 2015  
La Mar (The Ocean)                       | The Beautiful Girls            | Folk, Reggae         | 2003  
La Mar (The Ocean)                       | The Beautiful Girls            | Folk, Rock           | 2003  
When I Had You With Me                   | The Beautiful Girls            | Folk/Acoustic        | 2005  
Pump It                                  | The Black Eyed Peas            | Hip-Hop/Pop          | 2006  
Where Is The Love?                       | The Black Eyed Peas            | Hip-Hop/Pop          | 2003  
Everybody Hates Me                       | The Chainsmokers               | Eletrônica           | 2018  
Paris                                    | The Chainsmokers               | Eletrônica           | 2017  
Sick Boy                                 | The Chainsmokers               | Eletrônica           | 2018  
The One                                  | The Chainsmokers               | Eletrônica           | 2017  
Closer                                   | The Chainsmokers,              | Eletrônica           | 2016  
Don't Let Me Down                        | The Chainsmokers,              | Eletrônica           | 2016  
Something Just Like This                 | The Chainsmokers,              | Eletrônica           | 2017  
Something Just Like This                 | The Chainsmokers, Coldplay     | Pop                  | 2017  
The Hills of Aberfeldy                   | The Corries                    | Música               | 1996  
Hate It Or Love It                       | The Game                       | Música               | 2005  
How We Do                                | The Game, 50 Cent              | Hip-Hop/Rap          | 2004  
STAY (with Justin Bieber)                | The Kid LAROI,                 | Pop                  | 2021  
Sweater Weather                          | The Neighbourhood              | Indie Rock/Dark Po   | 2012  
Big Poppa                                | The Notorious B.I.G.           | Hip-Hop/Rap          | 1994  
Hypnotize                                | The Notorious B.I.G.           | Hip-Hop/Rap          | 1997  
Juicy                                    | The Notorious B.I.G.           | Hip-Hop/Rap          | 1994  
Roxanne                                  | The Police                     | Música               | 1997  
You'll Be Under My Wheels                | The Prodigy                    | Rock/Electronic      | 2004  
(I Can't Get No) Satisfaction - Mono     | The Rolling Stones             | Rock de Garagem/Bl   | 1965  
Luna - 2011 Remaster                     | The Smashing Pumpkins          | Rock                 | 1993  
Face Down                                | The Supremes                   | Música               | 1980  
Sweet Disposition - Vintage Culture &    | The Temper Trap, Vintage Cul   | Eletrônica           | 2008  
Disco Inferno                            | The Trammps                    | Música               | 1976  
Second Emotion                           | The Weeknd                     | Pop                  | 2020  
Save Your Tears (with Ariana Grande) (   | The Weeknd, Ariana Grande      | Pop                  | 2021  
House of the Rising Sun (with The Fore   | The White Buffalo, The Fores   | Folk Rock/Blues      | 2011  
The Hardest Button to Button             | The White Stripes              | Garage Rock          | 2003  
Minha Essência                           | Thiago Brado                   | Católica             | 2016  
Verdades Do Tempo                        | Thiago Brado                   | Católica             | 2015  
Diante do Rei                            | Thiago Brado, Katholika        | Católica             | 2023  
Foi por Você                             | Thiago Brado, Katholika        | Católica             | 2023  
Ninguém Te Ama Como Eu                   | Thiago Brado, Katholika        | Católica             | 2023  
O Céu Se Abre                            | Thiago Brado, Katholika        | Católica             | 2024  
Salmo 23: O Bom Pastor                   | Thiago Brado, Katholika        | Católica             | 2023  
Deus Está Aqui (Noites Traiçoeiras)      | Thiago Brado, Katholika Musi   | Católica             | 2023  
Dona Maria                               | Thiago Brava, Jorge            | Sertanejo            | 2017  
Só Vem! - Ao Vivo                        | Thiaguinho, LUDMILLA           | Funk                 | 2017  
The Kill                                 | Thirty Seconds to Mars         | Música               | 2005  
Die A Happy Man                          | Thomas Rhett                   | Country              | 2015  
Animal I Have Become                     | Three Days Grace               | Rock                 | 2006  
Animal I Have Become                     | Three Days Grace               | Rock                 | 2006  
I Hate Everything About You              | Three Days Grace               | Rock                 | 2003  
Overrated                                | Three Days Grace               | Rock                 | 2003  
The Year I Met You                       | Tim Walker                     | Sertanejo            | 2017  
Safe In Your Skin                        | Title Fight                    | Emo, Indie Rock      | 2011  
Jackie Chan                              | Tiësto, Dzeko, ,               | Eletrônica           | 2018  
BOOM                                     | Tiësto, Sevenn                 | Eletrônica           | 2017  
Free Fallin'                             | Tom Petty                      | Música               | 1989  
Colo de Menina                           | Traia Véia, João Gomes         | Forró/Piseiro        | 2024  
Hey, Soul Sister                         | Train                          | Rock                 | 2009  
Panda (feat. Joyner Lucas)               | Trap Thug Family, Joyner Luc   | Trap                 | 2025  
Headstrong                               | Trapt                          | Música               | 2002  
Billionaire                              | Travie McCoy                   | Música               | 2010  
Billionaire (feat. Bruno Mars)           | Travie McCoy,                  | Pop                  | 2010  
5% TINT                                  | Travis Scott                   | Hip-Hop/Rap          | 2018  
HIGHEST IN THE ROOM                      | Travis Scott                   | Hip-Hop/Rap          | 2019  
SICKO MODE                               | Travis Scott                   | Hip-Hop/Rap          | 2018  
goosebumps                               | Travis Scott                   | Hip-Hop/Rap          | 2016  
Frame of Mind                            | Tristam, Braken                | Electronic/Downtem   | 2013  
Loko                                     | Tropkillaz, Major Lazer, ,     | Trap                 | 2018  
GIANTS                                   | True Damage, Becky G, , , ,    | Pop                  | 2019  
Estado de Atenção / Dias de Luta, Dias   | Turma do Pagode,               | Pagode               | 2023  
Heathens                                 | Twenty One Pilots              | Pop Rock             | 2016  
Ride                                     | Twenty One Pilots              | Pop Rock             | 2015  
Stressed Out                             | Twenty One Pilots              | Pop Rock             | 2015  
Taste                                    | Tyga                           | Música               | 2018  
Isso é ridículo (Participação especial   | UM44K, Ari                     | Sertanejo            | 2017  
Yeah! (feat. Lil Jon & Ludacris)         | USHER, Lil Jon, Ludacris       | R&B/Pop              | 2004  
DJ Got Us Fallin' In Love (feat. Pitbu   | USHER, Pitbull                 | R&B/Pop              | 2010  
HOTEL LOBBY                              | Unc & Phew                     | Música               | 2025  
Perfect 10                               | Unknown Brain, Heather Somme   | Pop                  | 2018  
Control                                  | Unknown Brain, Rival,          | Electronic, Soundt   | 2018  
Yeah!                                    | Usher                          | R&B/Pop              | 2004  
Bandana 2                                | Veigh, Rocco, Nagalli, Super   | Trap                 | 2022  
Mônaco Freestyle                         | Veigh, Supernova Ent           | Trap                 | 2022  
Borboletas                               | Victor & Leo                   | Sertanejo            | 2025  
Deus e Eu no Sertão                      | Victor & Leo                   | Sertanejo            | 2025  
Deus e Eu no Sertão                      | Victor & Leo                   | Sertanejo            | 2025  
Na Linha do Tempo                        | Victor & Leo                   | Sertanejo            | 2014  
Tudo Com Você                            | Victor & Leo                   | Sertanejo            | 2025  
Vamos Fugir - Ao Vivo                    | Victor & Leo                   | Sertanejo            | 2025  
10 Minutos Longe de Você                 | Victor & Leo, Henrique & Jul   | Sertanejo            | 2025  
Vai Me Perdoando - Ao Vivo               | Victor & Leo, Victor Freitas   | Sertanejo            | 2025  
Vai Me Perdoando - Ao Vivo               | Victor & Leo, Victor Freitas   | Sertanejo            | 2025  
Como És Lindo                            | Vida Reluz                     | Não Encontrado       | 1997  
